GENOMIC,GENUS,SPECIES,FIELD_POP ID,GREENHOUSE,VOUCHER SPECIMEN,COLLECTION DATE,PROVENANCE,COUNTRY,STATE_PROVINCE,SPECIFIC LOCALITY,LATITUDE,LONGITUDE,NOTES,MATERIAL,NANODROP CONCENTRATION (ng/uL),NANODROP 260:280 RATIO,PUBLISHED
,Lycium,andersonii,BCS-30,,,1/11/2009,North America,Mexico,Baja California Sur,,25.664,-111.25,"just after the pass toward Loretto (from Ciudad Insurgentes), RAL changed the GPS", ,,,
,Lycium,andersonii,BCS-31,,,1/11/2009,North America,Mexico,Baja California Sur,,,,"collected from Tim Paape, site 11, coordinates available", ,,,
,Lycium,andersonii,BCS-32,,,1/11/2009,North America,Mexico,Baja California Sur,,,,"collected from Tim Paape, site 11, coordinates available", ,,,
,Lycium,andersonii,BCS-33,,,1/11/2009,North America,Mexico,Baja California Sur,,,,"collected from Tim Paape, site 11, coordinates available", ,,,
,Lycium,andersonii,BCS-34,,,1/11/2009,North America,Mexico,Baja California Sur,,,,"collected from Tim Paape, site 11, coordinates available", ,,,
,Lycium,andersonii,BCS-35,,,1/11/2009,North America,Mexico,Baja California Sur,,,,"collected from Tim Paape, site 11, coordinates available", ,,,
,Lycium,andersonii,,,,3/20/2008,North America,United States,California,roadside Hwy 62 S of 29 Palms,34.105,-116.489,full; (020), ,,,
,Lycium,andersonii,S43-08,,,3/23/2008,North America,United States,California,ca. 7 mi W of Yucca Valley on Hwy 247 (in Flamingo Hts),34.218,-116.44,"with creaosote, joshua trees; (028)", ,,,
,Lycium,andersonii,S44-08,,,3/23/2008,North America,United States,California,ca. 7 mi W of Yucca Valley on Hwy 247 (in Flamingo Hts),34.218,-116.44,"with creaosote, joshua trees; (028)", ,,,
,Lycium,andersonii,S53-08,,,3/23/2008,North America,United States,California,,34.435,-116.817,same location as above, ,,,
,Lycium,andersonii,S54-08,,,3/23/2008,North America,United States,California,ca 40 mi W of Yucca Wells on HW,34.441,-116.845,, ,,,
,Lycium,andersonii,S57-08,,,3/23/2008,North America,United States,California,,34.546,-116.947,same as above, ,,,
,Lycium,andersonii,S58-08,,,3/23/2008,North America,United States,California,,34.546,-116.947,same as above, ,,,
,Lycium,andersonii,S59-08,,,3/23/2008,North America,United States,California,,34.546,-116.947,same as above, ,,,
,Lycium,andersonii,S60-08,,,3/23/2008,North America,United States,California,,34.546,-116.947,same as above, ,,,
2546,Solanum,arcanum,LA2185,Cultivated,ARCA 1,,,,,see Tomato Genetics Resource Center,,,, ,,,
2550,Solanum,arcanum,LA2185,Cultivated,ARCA 10,,,,,see Tomato Genetics Resource Center,,,, ,,,
2533,Solanum,arcanum,LA2185,Cultivated,ARCA 11,,,,,see Tomato Genetics Resource Center,,,, ,,,
2534,Solanum,arcanum,LA2185,Cultivated,ARCA 14,,,,,see Tomato Genetics Resource Center,,,, ,,,
2523,Solanum,arcanum,LA2185,Cultivated,ARCA 18,,,,,see Tomato Genetics Resource Center,,,, ,,,
2473,Solanum,arcanum,LA2185,Cultivated,ARCA 19,,,,,see Tomato Genetics Resource Center,,,, ,,,
2529,Solanum,arcanum,LA2185,Cultivated,ARCA 2,,,,,see Tomato Genetics Resource Center,,,, ,,,
2562,Solanum,arcanum,LA2185,Cultivated,ARCA 21,,,,,see Tomato Genetics Resource Center,,,, ,,,
2524,Solanum,arcanum,LA2185,Cultivated,ARCA 24,,,,,see Tomato Genetics Resource Center,,,, ,,,
2525,Solanum,arcanum,LA2185,Cultivated,ARCA 28,,,,,see Tomato Genetics Resource Center,,,, ,,,
2560,Solanum,arcanum,LA2185,Cultivated,ARCA 29,,,,,see Tomato Genetics Resource Center,,,, ,,,
2547,Solanum,arcanum,LA2185,Cultivated,ARCA 3,,,,,see Tomato Genetics Resource Center,,,, ,,,
2518,Solanum,arcanum,LA2185,Cultivated,ARCA 30,,,,,see Tomato Genetics Resource Center,,,, ,,,
2474,Solanum,arcanum,LA1708,Cultivated,ARCA 32,,,,,see Tomato Genetics Resource Center,,,, ,,,
2567,Solanum,arcanum,LA1708,Cultivated,ARCA 33,,,,,see Tomato Genetics Resource Center,,,, ,,,
2561,Solanum,arcanum,LA1708,Cultivated,ARCA 34,,,,,see Tomato Genetics Resource Center,,,, ,,,
2563,Solanum,arcanum,LA1708,Cultivated,ARCA 36,,,,,see Tomato Genetics Resource Center,,,, ,,,
2519,Solanum,arcanum,LA1708,Cultivated,ARCA 37,,,,,see Tomato Genetics Resource Center,,,, ,,,
2526,Solanum,arcanum,LA1708,Cultivated,ARCA 38,,,,,see Tomato Genetics Resource Center,,,, ,,,
2530,Solanum,arcanum,LA2185,Cultivated,ARCA 4,,,,,see Tomato Genetics Resource Center,,,, ,,,
2564,Solanum,arcanum,LA1708,Cultivated,ARCA 40,,,,,see Tomato Genetics Resource Center,,,, ,,,
2527,Solanum,arcanum,LA1708,Cultivated,ARCA 41,,,,,see Tomato Genetics Resource Center,,,, ,,,
2565,Solanum,arcanum,LA1708,Cultivated,ARCA 46,,,,,see Tomato Genetics Resource Center,,,, ,,,
2566,Solanum,arcanum,LA1708,Cultivated,ARCA 48,,,,,see Tomato Genetics Resource Center,,,, ,,,
2520,Solanum,arcanum,LA1708,Cultivated,ARCA 49,,,,,see Tomato Genetics Resource Center,,,, ,,,
2531,Solanum,arcanum,LA2185,Cultivated,ARCA 5,,,,,see Tomato Genetics Resource Center,,,, ,,,
2521,Solanum,arcanum,LA1708,Cultivated,ARCA 52,,,,,see Tomato Genetics Resource Center,,,, ,,,
2522,Solanum,arcanum,LA1708,Cultivated,ARCA 53,,,,,see Tomato Genetics Resource Center,,,, ,,,
2568,Solanum,arcanum,LA1708,Cultivated,ARCA 56,,,,,see Tomato Genetics Resource Center,,,, ,,,
2569,Solanum,arcanum,LA1708,Cultivated,ARCA 57,,,,,see Tomato Genetics Resource Center,,,, ,,,
2548,Solanum,arcanum,LA2185,Cultivated,ARCA 6,,,,,see Tomato Genetics Resource Center,,,, ,,,
